,power consumption[W]
,standard,proposed
1,234.36769875042575,234.36769875042575,
2,264.75482636912125,264.75482636912125,
3,227.35164806579078,227.35164806579078,
4,155.6621678254236,155.6621678254236,
5,232.99157473786016,232.99157473786016,
6,245.01620428851166,245.01620428851166,
7,282.07574345916544,282.07574345916544,
8,218.6344579952135,218.6344579952135,
9,181.76615158582908,181.76615158582908,
10,191.9299719279218,191.9299719279218,
11,195.6138589838451,195.6138589838451,
12,189.50081144354746,189.50081144354746,
13,172.63816044887528,172.63816044887528,
14,182.84851872923176,182.84851872923176,
15,218.32031679683968,218.32031679683968,
16,232.28350999889602,232.28350999889602,
17,186.13088049288032,186.13088049288032,
18,219.74344100948747,219.74344100948747,
19,197.69201779182728,197.69201779182728,
20,240.42294302138112,240.42294302138112,
21,216.28562004753877,216.28562004753877,
22,206.69456369191383,206.69456369191383,
23,244.98711783160917,244.98711783160917,
24,200.9973884761116,200.9973884761116,
25,231.09926662637736,231.09926662637736,
26,227.26554782766982,227.26554782766982,
27,179.28188488343173,179.28188488343173,
28,177.72761693523614,177.72761693523614,
29,182.98825577456105,182.98825577456105,
30,189.5326702320739,189.5326702320739,
31,243.31354959309306,243.31354959309306,
32,274.15046202023376,274.15046202023376,
33,220.2009780150986,220.2009780150986,
34,201.59324462011955,201.59324462011955,
35,223.92233628490092,223.92233628490092,
36,238.57107236126956,238.57107236126956,
37,225.31794938606444,225.31794938606444,
38,217.93261025465117,217.93261025465117,
39,230.08357371578398,230.08357371578398,
40,242.99242016262076,242.99242016262076,
41,229.8723699451072,229.8723699451072,
42,273.44848887182576,273.44848887182576,
43,193.9265606678561,193.9265606678561,
44,162.35890843474579,162.35890843474579,
45,208.1919721511898,208.1919721511898,
46,177.1709573009561,177.1709573009561,
47,195.46901279567598,195.46901279567598,
48,198.6111369071257,198.6111369071257,
49,274.36847292524095,274.36847292524095,
50,199.46886570487032,199.46886570487032,
